Точка,Название,Значение,Локализация
Th4,Yangchi,"1. «Ян» (陽) — «Ян-канал»; «чи» (池) — «озеро». Точка относится к Ян-каналу — ручному шао-ян каналу Сань-цзяо, расположена в напоминающем озеро углублении между сухожилиями.2. «Ян» (陽)一《Ян-канал»; «чи» (池)一 «озеро».Точка относится к Ян-каналу ——ручному шао-ян каналу Сань-цзяо, расположена на тыле запястья. В месте расположения точки канальная Ци вливается из кисти в предплечье, словно вода из реки в озеро.","В середине тыльной лучезапястной складки, в углублении у локтевого края сухо- жилия общего разгибателя пальцев."
Th5,Waiguan,"1. «Вай» (外)一«наружная сторона руки»; «гуань» (关)—«горный проход; заслон, застава». Точка Вай-гуань TR.5 расположена на наружной стороне предплечья, является важным местом прохода канальной Ци, словно застава предохраняет организм от патогенной Ци.2. «Вай» (外)一 кнаружи; «гуань» (关)——точка Нэй-гуань МС.6. Точка расположена кнаружи от Нэй-гуань МС.6, отсюда и название.3. «Вай» (外)—— наружный ; «гуань» (关)—— иметь отношение . Вай-гуань TR.5 — одна из точек слияния восьми сосудов, связанная с сосудом Ян-вэй-май, который управляет наружным. Точка имеет отношение к лечению наружного синдрома, отсюда и название.","На 2 цуня выше тыльной лучезапястной складки, между лучевой и локтевой костями."
Th6,Zhigou,"«Чжи» (支)—«конечности»; «гоу» (溝)—«канава». Точка расположена на верхней конечности, между локтевой и лучевой костями, словно в канаве.","На 3 цуня выше тыльной лучезапястной складки, между локтевой и лучевой костями."
Th7,Huizong,"1. «Хуэй» (会) — «слияние»; «цзун» (宗) — «соединение». Точка используется при лечении снижения слуха и глухоты. В каноне «Лин шу» говорится: «В ушах — слияние всех сосудов», отсюда и название.2. «Хуэй» (会)一«слияние» ; «цзун» (宗)_ «скопление». Хуэй-цзун TR.7 — точка-щель ручного шао-ян канала Сань-цзяо. Точки-щели — это места глубокого скопления канальной Ци и крови, отсюда и название.","На 3 цуня выше тыльной лучезапястной складки, у лучевого края локтевой кости, приблизительно на 0,5 цуня к локтевой стороне от точки Чжи-гоу TR.6."
Th8,Sanyangluo,"«Сань» (三)— три ; «ян» (陽)—— Ян-каналы; «ло» (络)— сеть, опутанный. Точка расположена в середине наружной поверхности предплечья, словно «опутана» тремя ручными Ян- каналами, находится в «сети трех Ян-каналов».","На 1 цунь выше точки Чжи-гоу TR.6, между локтевой и лучевой костями."
Th9,Sidu,"«Сы» (四) — «четыре»; «ду» (瀆) — «река». Точка расположена в углублении между локтевой и лучевой костями, напоминающем русло крупной реки. В древности словосочетание «сы ду» использовалось в значении «четыре главнейших реки Китая» (Янцзы, Хуанхэ, Хуайхэ и Цзишуй), с которыми сравнивается место расположения точки.","На тыльной поверхности предплечья, на 5 цуней ниже локтевого отростка, между локтевой и лучевой костями."
Th10,Tianjing,"Тянь (天)一небесный; «цзин» (井) — колодец. Верхняя честь человеческого тела называется «небесной». Точка расположена в углублении выше локтевого отростка, словно в колодце.",При согнутой в локтевом суставе руке в углублении на 1 цунь выше локтевого отростка локтевой кости.
Th11,Qinglengyuan,"1. «Цин лэнь» (清冷)—прохлада; «юань» (淵)— хранилище, обиталище; глубокий водоем». Точка расположена в углублении, напоминающем глубокий водоем, используется при лечении головной боли, озноба, ограничения подвижности в плечевом суставе и боли в области локтевого сустава, вызванных восприятием патогенного холода, поэтому и сравнивается с «хранилищем прохлады».2. «Цин лэн» (清冷)—«прохладный, освежающий»; «юань» (淵) — «глубокий водоем». Точки ручного шао-ян канала Сань-цзяо способствуют изгнанию жара и растворению флегмы при скоплении жара в Сань-цзяо. Укалывание Цин-лэн-юань TR.11 можно сравнить с погружением в прохладный и глубокий водоем.","На 2 цуня выше локтевого отростка, на 1 цунь выше точки Тянь-цзин TR.10."
Th12,Xiaoluo,"Сяо (消)一устранять; «ло» (濼)一водоем. Сань-цзяо обеспечивает водный обмен в организме, воздействие на точки ручного шао-ян канала Сань-цзяо способствует нормализации водного обмена, устранению скопления жидкости при отеках, которое можно сравнить со скоплением воды в водоеме."," На линии, соединяющей локтевой отросток и точку Цзянь-ляо TR.14, посередине расстояния между точками Нао-хуэй TR.13 и Цин-лэн-юань TR.11."
Th13,Naohui,"«Нао» (臑)— плечо ; «хуэй» (會)一 точка пересечения.Нао-хуэй TR. 13 — точка пересечения ручного шао-ян канала Сань-цзяо и сосуда Ян-вэй-май, расположенная в области плеча, отсюда и название.","На задней поверхности плеча, на линии, соединяющей точку Цзянь-ляо TR.14 и локтевой отросток, на 3 цуня прямо вниз от точки Цзянь-ляо TR.14, в углублении у заднего края дельтовидной мышцы ."
Th14,Jianliao,"Цзянь» (肩)—«область плечевого сустава»; «ляо» (髎) — «акупунктурная точка в углублении кости». Точка расположена в углублении вблизи плечевого сустава, отсюда и название.","Кзади от нижнего края акромиона, при отведенной руке в углублении на 1 цунь кзади от точки Цзянь-юй GI.15."
Th15,Tianliao,"Тянь» (天) — «небесный»; «ляо» (髎)— «акупунктурная точка в углублении кости» Верхняя часть человеческого тела называется «небесной». Точка расположена в надостной ямке, отсюда и название.","В надостной ямке, у верхнего угла лопатки, на 1 цунь прямо вниз от точки Цзянь- цзин VB.21 ."
Th16,Tianyou,"«Тянь» (天)— небесный; «ю» (牖)一 окно. Голова относится к верхней («небесной») части человеческого тела. С окнами можно сравнить «отверстия головы» (头转)——уши, глаза, ноздри и рот. Точка Тянь-ю TR.16 расположена на голове, используется при лечении болезней «отверстий головы», отсюда и название.","Кзади и книзу от сосцевидного отростка, у заднего края грудинно-ключично-сосцевидной мышцы, на уровне угла нижней челюсти, прямо посередине между точками Тянь-жун IG.17 и Тянь-чжу V.1."
Th17,Yifeng,"И (黯)—«веер из перьев»; «фэн» (風)——патогенный ветер. Точка расположена сзади мочки уха. Форма уха напоминает веер, сосцевидный отросток — ширму, спереди и сзади они обеспечивают защиту от проникновения патогенного ветра. Когда рот закрыт, впереди точку заслоняет ухо, сзади — сосцевидный отросток, внизу — Цзя-чэ Е.6 (область угла нижней челюсти), поэтому точка сравнивается с заслоном от проникновения патогенного ветра.","В углублении кзади от основания мочки уха, между углом челюсти и сосцевидным отростком."
Th18,Qimai,"Чи» (契)一судороги; «май» (脈)一кровеносный сосуд. Точка расположена в области распространения задней ушной вены, используется при лечении судорог у детей.","В центре сосцевидного отростка, в месте соединения верхних 2/з и нижней 1 дугообразной линии за ухом между точками И-фэн TR.17 и Цзяо-сунь TR.20."
Th19,Luxi,"1. В книге «Чжэнь цзю цзя и цзин» (Канон основ иглоукалывания и прижигания, 282 г.) эта точка описана под названием Лу-синь. «Лу» (顱) — «череп»; «синь» (息) — «родничок новорожденного». По мнению многих исследователей, иероглиф «си» — дышать, отдых; успокаивать в названии этой точки появился ошибочно по вине переписчика. Точка используется при лечении судорог у детей, отсюда и название.2. «Лу» (顱) — «череп»; «си» (息) — «дышать; отдых; успокаивать». Точка расположена в области черепа, используется для «успокоения» жизненного духа Шэнь, отсюда и название.",В месте соединения верхней i/з и нижних 2/з дугообразной линии за ухом между точками И-фэн TR.17 и Цзяо-сунь TR.20.
Th20,Jiaosun,"1. «Цзяо» (孫) — «угол»; «сунь» (孫) — «мелкие коллатерали». Точка находится у верхнего угла уха, в месте ее расположения имеются мелкие коллатерали.2. «Цзяо» (孫) — «угол»; «сунь» (孫)  — «немного опуститься». Точка расположена немного книзу от верхнего угла уха, в углублении, образующемся при открытом рте.",У верхушки уха на границе роста волос.
Th21,Ermen,"Эр(耳)— ухо ; мэнь (門)一 ворота. Точка расположена кпереди от уха, ее можно сравнить с «воротами уха».","Кпереди от надкозелковой вырезки, в углублении у заднего края мыщелкового отростка нижней челюсти. Используют точку, когда рот пациента открыт."
Th22,Erheliao,"Хэ (耳和)一 гармония; приводить к гармонии ; ляо  (膠)一 акупунктурная точка в углублении кости. Хэ-ляо TR.22 используется при лечении глухоты, может «привести к гармонии» слух, отсюда и название.","У заднего края границы роста волос на виске, на уровне наружного угла глаза, у заднего края поверхностной височной артерии."
Th23,Sizhukong,"«Сы» (絲)—«шелковая нить»; «чжу» (竹)—«бамбук»; «кун» (空)—«отверстие, углубление». Брови можно сравнить с зарослями молодого (тонкого как шелковая нить) бамбука. Кроме того, иероглиф «чжу» (竹)по виду напоминает брови. Точка расположена в углублении у наружного конца брови, отсюда и название.",В углублении у наружного конца брови.
Sp1,Yinbai,"Инь» (R急)—«скрываться»; «бай» (白)—«белый». В китайской медицине граница тыльной и подошвенной поверхности стопы называется «границей красных и белых мышц» (赤白 肉Р不).Точка Инь-бай RP.1 расположена на внутренней стороне большого пальца стопы, скрывшись (инь) на границе красных и белых (бай) мышц.","На внутренней стороне большого пальца стопы, приблизительно на 0,1 цуня от угла ногтя."
Sp2,Dadu,"1. «Да» (大)一большой, крупный; «ду» (者|5) — столица, крупный город. В месте расположения точки «изобилие кожи и мышц», поэтому она сравнивается с «крупной столицей».2. «Да» (大)一 большой, процветающий; «ду» (者Р)——столица, крупный город. Циркуляция канальной Ци имеет свою последовательность. Ножной тай-инь канал селезенки — на четвертом месте. Согласно административному делению Древнего Китая, «каждые четыре уезда имеют свою столицу».","В углублении кпереди от внутреннего края плюснефалангового сочленения большого пальца стопы, в месте перехода тыльной поверхности стопы в подошвенную."
Sp3,Taibai,"1. «Тай» (太)—«великий, большой»; «бай» (白)—«белый». В китайской медицине граница тыльной и подошвенной поверхности стопы называется «границей красных и белых мышц» (赤白肉际).Точка Тай-бай RP.3 расположена на большом  пальце стопы, на «границе красных и белых (бай) мышц».2. «Тай бай» (太白)一 《планета Венера». В китайской астрономии Венера относится к элементу Металл. Точка Тай-бай RP.3 точка-быстрина канала селезенки, относится к элементу Земля, порождающему Металл.","В углублении на внутренней поверхности стопы, книзу и кзади от головки I плюсневой кости, в месте перехода тыльной поверхности стопы в подошвенную."
Sp4,Gongsun,"«Гун сунь» — «княжеский внук». Точка расположена в месте ответвления коллатерали от ножного тай-инь канала селезенки. Канал можно сравнить с «дедом», а коллатераль — с «внуком».","На внутренней поверхности стопы, на передне-нижнем крае основания I плюсневой кости, в месте перехода тыльной поверхности стопы в подошвенную."
Sp5,Shangqiu,"«Шан» (商)——один из «пяти звуков» китайской пентатоники; «цю» (丘)一《холм». Звук «шан» соотносится с элементом Металл. Среди пяти цзан-органов к элементу Металл относятся легкие. Холм (Ff) — это скопление земли. Земля порождает Металл. Эта точка словно «озарена легкими», отсюда и название","Кпереди и книзу от медиальной лодыжки, в углублении между вершиной медиальной лодыжки и бугром ладьевидной кости."
Sp6,Sanyinjiao,"Сань  —три; инь (阴)——Инь-каналы; «цзяо» (交)— пересечение. В этой точке пересекаются три ножных Инь-канала (селезенки, печени и почек), поэтому она и называется «пересечение трех Инь.","На 3 цуня выше вершины медиальной лодыжки, у заднего края медиальной поверхности большеберцовой кости."
Sp7,Lougu,"Лоу» (漏)—«просачиваться, вытекать»; «гу» (谷)—«впадина, углубление». Точка расположена в углублении (гу), используется при задержке мочи, то есть может способствовать «вытеканию» (лоу) мочи.","На внутренней поверхности голени, у заднего края большеберцовой кости, на 6 цуней выше вершины медиальной лодыжки, на 3 цуня выше точки Сань-инь-цзяо RP.6."
Sp8,Diji,"«Ди» — «земля»; «цзи»  — «пружина, механизм». Тело делится на три части —«небесную» (верхнюю), «человеческую» (среднюю) и «земную» (нижнюю). Область от пупка до ступней относится к «земной» части. Точка Ди-цзи RP.8 расположена в середине «земной» (ди) части, сравнивается с «пружиной» (цзи), обеспечивающей сгибание и разгибание ноги в коленном суставе.","У заднего края внутренней поверхности большеберцовой кости, на 3 цуня ниже точки Инь-лин-цюань RP.9."
Sp9,Yinlingquan,"«Инь» — «внутренняя Инь-сторона колена»; «лин»  — «холм»; «цюань»  一 «родник». Медиальный мыщелок большеберцовой кости возвышается словно холм, углубление ниже мыщелка напоминает родник, поэтому точка сравнивается с «родником у холма на Инь-стороне колена».","В углублении у нижнего края медиального мыщелка большеберцовой кости, в углублении между задним краем большеберцовой кости и икроножной мышцей."
Sp10,Xuehai,"«Сюэ» (血)—«кровь»; «хай» (海)—«море». Сюэ-хай RP.10 — важная точка лечения болезней крови, способствует оживлению крови и устранению застоя крови, используется при лечении маточных кровотечений и дисменореи. При застое крови может «открыть путь», чтобы кровь стекала в каналы, как отводятся воды наводнений в реки и моря.Другие названия.","При согнутой в коленном суставе ноге на 2 цуня выше верхнего внутреннего края надколенника, в месте возвышения медиальной головки четырехглавой мышцы бедра."
Sp11,Jimen,"1. «Цзи» (宾)—«веяльный совок; сидеть совком»; «мэнь» (|'~])——«ворота». «Сидеть совком» означает сидеть на циновке, вытянув и раздвинув ноги. В древности такая поза считалась крайне неприличной. Сидеть следовало с поджатыми под себя и скрещенными ногами. Точка расположена на внутренней поверхности бедра, для ее использования пациент должен «сесть совком».2. Цзи — «веяльный совок»;  мэнь — «ворота». Канавка между мышцами в месте расположения точки напоминает веяльный совок — впереди большая, сзади маленькая. Точка находится у переднего края канавки, словно в «воротах совка","На внутренней поверхности бедра, на соединительной линии между точками Сюэ- хай RP.10 и Чун-мэнь RP.12, на 6 цуней выше точки Сюэ-хай RP.10."
Sp12,Chongmen,"«Чун»  — «важный»; «мэнь»  — «ворота». Чун-мэнь RP.12 — точка пересечения ножного тай-инь канала селезенки и ножного цзюэ-инь канала печени, является «важными воротами», через которые эти каналы, поднимающиеся с ног, входят в область живота.","На паховой складке на уровне верхнего края лобкового сим中иза，на 3,5 цунякнаружи от точки Цюй-гу VC.2."
Sp13,Fushe,"Фу» (府)——《фу-органы»; «шэ» (舍)_ «жилище». Живот — «жилище шести фу-органов». Точка расположена на животе, отсюда и название.","кнаружи от передней срединной линии (рис. 37).Функции. Точка Фу-шэ RP.13 расположена в области живота, может использоваться при лечении некоторых локальных болезней, связанных с нарушениями в фу-органах."
Sp14,Fujie,"Фу (腹)—«живот»; «цзе»  — «собираться, скапливается». Точка расположена на животе (фу), где внутри собирается (цзе) Ци шести фу-органов, отсюда и название.","На 1,3 цуня ниже точки Да-хэн RP.15, на 4 цуня кнаружи от передней срединной линии."
Sp16,Fuai,"«Фу»  — «живот»; «ай» — «рыдания, плач». Точка расположена на животе, может использоваться при лечении урчания в животе — «рыданий живота».","На 3 цуня выше точки Да-хэн RP.15, на 4 цуня кнаружи от точки Цзянь-ли VC.11, расположенной на 3 цуня выше пупка."
Sp17,Shidou,"1. «Ши»  — «пища»; «доу» — «щель, отверстие, нора». Селезенка управляет транспортировкой и трансформацией пищи в очищенные питательные вещества, распространяет их по всему организму. Точка относится к ножному тай-инь каналу селезенки, содействует транспортировке и трансформации пищи, отсюда и название.2. «Ши»  — «пища»; «доу»  — «синус, пазуха». Точка расположена возле соска, где находятся млечные синусы (доу)，в которых накапливается молоко — пища (ши) для детей.","На 6 цуней кнаружи от передней срединной линии, в V межреберном промежутке."
Sp18,Tianxi,"Тянь (天) — небесный; «си»  — «горный ручей». Вершина соска напоминает горный пик, достигающий неба. На 1 цунь кнаружи от соска расположена точка Тянь-чи МС.1 — «небесное озеро», на 2 цуня кнаружи от соска — точка Тянь-си RP.18, которую можно сравнить с горным ручьем.","На 2 цуня кнаружи от соска, на б цуней кнаружи от передней срединной линии, в IV межреберном промежутке."
Sp19,Xiongxiang,"«Сюн»  — «грудная клетка»; «сян» — «широкое поле». Использование точки Сюн-сян RP.19 при ощущении, сдавленности грудной клетки способствует ее «распрямлению», то есть грудная клетка (сюн) становится как широкое поле (сян).","На 6 цуней кнаружи от передней срединной линии, в III межреберном промежутке."
Sp20,Zhourong,"Чжоу»  — «все [тело]»; «жун»  — «питательная Ци». Точка Чжоу-жун RP.20 относится к ножному тай-инь каналу селезенки. Селезенка является источником образования питательной Ци и крови, распространяет их по всему телу. Чжоу-жун RP.20 расположена немного ниже точки Чжун-фу Р.1 — первой точки канала легких, точки пересечения ручного тай-инь канала легких и ножного тай-инь канала селезенки. Когда нарушается связь канальной Ци селезенки и лег- ких, возникают чувство переполнения в грудной клетке и затрудненное глотание。Иглоукалывание и прижигание точки содействует восстановлению циркуляции в каналах и соединению канальной Ци селезенки и легких. Вдыхаемая легкими Ци соединяется с питательной Ци, полученной путем трансформации пищи селезенкой, и распространяется по всему телу。Таким образом, использование точки способствует распространению питательной Ци по всему организму.","На 6 цуней кнаружи от передней срединной линии, во II межреберном промежутке."
Sp21,Dabao,"«Да» (大)—«большой, общий»; «бао» (包)—«охватывать, обнимать». Большая коллатераль селезенки управляет всеми коллатералями Инь и Ян, через селезенку орошает пять цзан-органов, является «всеобъемлющей», лечит боль во всем теле при избытке, слабость во всех суставах при недостатке.","На средней подмышечной линии, в VI межреберном промежутке."
St1,Chengqi,"«Чэн» (承)—«получать, принимать»; «ци» (泣)—«слезы». Точка расположена под глазами, в месте, по которому текут слезы, используется при лечении различных болезней глаз.","Прямо вниз от зрачка, между глазным яблоком и нижним краем глазницы."
St2,Sibai,"Сы» — «четыре, во все стороны, широко»; «бай» — «белый, чистый, светлый». Точка расположена в области глаза, используется при лечении болезней глаз, «расширяет поле зрения и просветляет глаза», поэтому и называется «расширяющая и просветляющая»",Прямо вниз от зрачка в подглазничном отверстии.
St3,Juliaoxue,«Большая ямка». Точка в углублении кости.,"На пересечении вертикальной линии, проведенной через зрачок, и горизонтальной линии, проведенной через точку Жэнь-чжун VG.26."
St4,Dicang,"1. «Ди» (地)——《земля»; «цан» (仓)一 《амбар». Лицо делится на «три двора» (三庭)• Выше носа —это «верхний двор», нос — «средний двор», ниже носа — «нижний двор». «Дворы» лица можно соотнести с «небесной», «человеческой» и «земной» частями. Точка расположена возле угла рта в нижней («земной») части лица, через рот пища попадает в желудок — «орган-амбар» (仓廪之官).2. «Ди» (i也)——《земля»; «цан» (仓)一 《амбар». Съедобные растения, произрастающие на земле (ди), через рот, возле которого расположена точка, словно в амбар (цан) попадают в желудок.","На 0,4 цуня кнаружи от угла рта, в месте пересечения вертикальной линии от середины зрачка и горизонтальной линии от угла рта."
St5,Daying,"«Да»  — «большой, крупный»; «ин»  — «процветать». Точка расположена вблизи лицевой артерии, где «процветают Ци и кровь»","В углублении на 1,3 цуня кпереди от угла нижней челюсти."
St6,Jiache,"Цзя» — «щека»; «чэ» (车)—«повозка». «Цзя чэ» — нижней челюсти, возле которого расположена точка.","На один поперечный палец кпереди и кверху от угла нижней челюсти. При сомкнутых челюстях в месте расположения точки прощупывается выпуклость жевательной мышцы, при открытом рте — углубление."
St7,Xiaguan,"«Ся» — «нижняя челюсть»; «гуань» — «сустав». Точка расположена в области височно-нижнечелюстного сустава, отсюда и название.","Во впадине, которая образуется нижним краем скуловой дуги и мыщелковым отростком нижней челюсти."
St8,Touwei,"Тоу  (头)一《голова»; «вэй» (会隹)一《связывать». Граница роста волос на лбу и вис- ках имеет форму трех углов. Точка расположена на границе роста волос в лобных углах, словно «связывает» волосы на лбу и волосы на висках.","В лобном углу на 0,5 цуня выше границы роста волос, на 4,5 цуня кнаружи от точки Шэнь-тин VG.24."
St9,Renying,"Жэнь» — «человек»; «ин»  — «движение, пульсация». Точка расположена в месте пульсации (ин) сонной артерии, отражающей состояние Ци фу-органов человека (жэнь).","На уровне верхнего края щитовидного хряща, кпереди от переднего края грудиноключично-сосцевидной мышцы, в месте разделения общей сонной артерии на наружную и внутреннюю."
St10,Shuitu,"«Шуй» (水)—«вода, жидкость»; «ту»  — «выпуклость, возвышение». Точка расположена в области щитовидного хряща. Когда человек пьет, щитовидный хрящ опускается и поднимается, в месте расположения точки появляется выпуклость.","Посередине соединительной линии между точками Жэнь-ин Е.9 и Ци-шэ Е.11, кна- ружи от нижнего края щитовидного хряща, у переднего края грудино-ключично-сосцевидной мышцы."
St11,Qishe,"«Ци» (气)—«Ци легких или желудка»; «шэ» (舍)——«жилище». Из-за различных внутренних нарушений может произойти аномальное поднятие Ци легких с кашлем или аномальное поднятие Ци желудка с икотой, когда Ци выходит наружу через горло. Точка Ци-шэ Е.11 расположена возле легких, относится к ножному ян-мин каналу желудка, ее использование способствует осаждению аномального поднятия Ци легких и желудка, то есть возвращению Ци в жилище.","Над верхним краем ключицы, между грудинной и ключичной головками грудино- ключично-сосцевидной мышцы, прямо вниз от точки Жэнь-ин Е.9, на 1,5 цуня кнаружи от точки Тянь-ту VC.22."
St12,Quepen,"1. «Цюэ» (缺)——《неполный»; «пэнь» (盆)—«чашка». Точка расположена в надключичной ямке, напоминающей не доверху наполненную чем-либо чашку.2. «Цюэ» (fife) — «расколотый»; «пэнь» (盆)—«чашка». Точка расположена в надключичной ямке, напоминающей расколотую чашку.","В середине надключичной ямки, на 4 цуня кнаружи от передней срединной линии, у заднего края грудино-ключичнососцевидной мышцы."
St13,Qihu,"Ци ху» (气户)—«дверь Ци». Внутрь от точки находится верхняя часть легких. Легкие управляют всей Ци организма. Точка в основном используется для нормализации Ци легких и, следовательно, всей Ци организма, поэтому и сравнивается с «дверью Ци.","У нижнего края ключицы, на 4 цуня кнаружи от передней срединной линии."
St14,Kufang,"1. «Ку» (库)—«склад, хранилище»; «фан» (房)—«боковая комната». Вдыхаемый воздух (Ци) словно на складе хранится в легких. Точка Ку-фан Е.14 расположена вблизи легких, сравнивается с боковой комнатой склада, через которую можно проникнуть на склад и воздействовать на Ци легких.2. «Ку фан» (库房)—«склад, хранилище». Грудная клетка, на которой расположена точка, напоминает склад, где хранятся сердце и легкие.","Прямо вверх от соска, в I межреберном промежутке, на 4 цуня кнаружи от передней срединной линии."
St15,Wuyi,"1. «У»  — «комната»; «и»  — «прикрытие, ширма». Сосок груди можно сравнить с комнатой. Точка У-и Е.15 расположена выше соска, словно «ширма комнаты».2. «У»  — «комната»; «и» — «укрываться, прятаться». Когда вдыхаемый воздух поступает в легкие, он словно «прячется в комнате» на уровне точки У-и Е.15.","Прямо вверх от соска, во II межреберном промежутке, на 4 цуня кнаружи от передней срединной линии."
St16,Yingchuang,"《Ин» (J辟)一 《грудная клетка»; «чуан» (窗)一 《окно». Точка расположена на грудной клетке, сравнивается с «окном», через которое можно вывести из организма патогенную Ци.","Прямо вверх от соска, в III межреберном промежутке, на 4 цуня кнаружи от передней срединной линии."
St17,Ruzhong,"«Жу»  — «сосок»; «чжун» — «центр, середина». Точка расположена в центре соска, отсюда и название.",В центре соска.
St18,Rugen,"Жу»  — «грудь, молочная железа»; «гэнь» —«корень, основание». Точка расположена у основания груди, отсюда и название.","В V межреберном промежутке, прямо вниз от соска, на 4 цуня кнаружи от передней срединной линии ."
St19,Burong,"《Бу» (不)——отрицательная частица; «жун» (容)一 《принимать». 丁очка расположена на животе на уровне высшего предела наполненности желудка пищей в стадии переедания, когда дальнейший прием пищи невозможен.","На а 2 цуня кнаружи от точки Цзюй-шоэ VC.14, расположенной на 6 цуней выше пупка."
St20,Chengman,"1. «Чэн» — «получать»; «мань»  — «наполнение, насыщение». Точка расположена на животе на уровне, соответствующем уровню наполненности желудка пищей в стадии насыщения, когда дальнейший прием пищи может привести к перееданию.2. «Чэн» — «получать»; «мань»  — «наполнение, насыщение». Точка используется при лечении болезней желудка, ее воздействие сравнивается с «насыщением» желудка при недостатке Ци.","На 2 цуня кнаружи от точки Шан-вань VC.13, расположенной на 5 цуней выше пупка."
St21,Liangmen,"«Ляп» (梁)——《просо»; «мэнь» — «дверь, ворота». Основу рациона древних китайцев составляло сваренное на пару зерно. В отдельной чашке на стол подавали мясные или овощные кушанья, понемногу добавлявшиеся в сваренное зерно. Наиболее распространенными злаковымикультурами в Древнем Китае были чумиза и просо. Рис был сравнительно редкой культурой и относился к разряду деликатесов. Точка расположена в эпигастральной области, в месте, где пища поступает в желудок.","На 2 цуня кнаружи от точки Чжун-вань VC. 12, расположенной на 4 цуня выше пупка."
St22,Guanmen,"1. «Гуань»  — «закрывать»; «мэнь» — «дверь». Точка используется при лечении поноса, недержания мочи, когда «двери не закрыты», поэтому и называется «закрывающая дверь».2. «Гуань мэнь»  — «ворота, дверь». Точка расположена вблизи пилорической части желудка —«ворот», через которые проходит Ци желудка.","На 2 цуня кнаружи от точки Цзянь-ли VC.11, расположенной на 3 цуня выше пупка."
